playername,patch,CurrentSkill,PC1,PC2,PC3,PC4
Scout,15.13,37.7136850606536,-0.5010652439356633,-1.1404933480550064,-1.869781774564219,4.913440363186636
Fisher,15.24,37.696609716544835,-0.7178175728296426,0.3658717858830868,-0.0706780618351514,0.0674393397461293
Bdd,15.01,37.652729253610936,0.0072467562146496,-1.4086780714628753,-0.4372485255196685,1.3846227443248234
Bdd,16.03,37.382618040287355,1.129352947267326,-0.6351346466261405,-3.459650344619662,0.7711541596734571
Callme,16.11,37.24042925350022,1.5118994812373163,-0.6279672571403891,-1.5357710658808523,-3.6589807667059047
Ucal,14.19,37.165946128725516,0.2265308255097791,-3.642983662185276,2.854694119492416,-0.8051362547828316
Faker,16.04,36.80573080110182,-1.4395393171115056,1.9276803082090568,0.4171128310099925,-1.6748254747964044
kyeahoo,15.15,36.681137058877745,-1.141709922633777,-0.5625288827027366,1.3426797837412088,0.2979321724117019
kyeahoo,15.08,36.64126117367889,-1.0494955149531828,-0.3222062601864732,1.125632251838416,-0.1341295062796192
Bdd,15.24,36.60670722778873,0.2555654891945232,-1.2704956254721722,-0.5240835731016749,-0.2505455843593223
Ucal,14.02,36.54228271539847,0.4410286291784714,-2.3972011617613904,0.0950881677345852,0.1496070665408678
Ucal,15.14,36.27141010909155,-0.5419908455953566,-1.2298182835349951,-0.0928533378804537,1.4752237067254403
VicLa,16.04,36.021495697005584,-0.6037649416113348,-0.198020116134838,-0.004236177997005,-0.4907634556560875
Clozer,16.06,35.97364005763208,1.0862282876710796,-1.1600181969610497,-1.7482393396313325,-1.7442705359666626
Calix,16.02,35.93322048413654,-0.8121245384395814,1.2028451937275897,-0.8574098921558198,-1.041865748549467
Bdd,15.18,35.86068101777863,-0.9987012758547894,-0.3488831468888604,-0.9119170643977146,2.4438344036473687
Quad,15.13,35.860562178648934,-2.8556679754487866,1.8598776419110772,0.3123990412507473,2.786839433330842
Calix,16.06,35.75608822201038,-0.1657458707244472,0.3165531991336346,-0.2321141397802361,-2.7198948080123126
Callme,15.22,35.623721302318465,-0.3695450251074622,0.970276834459868,-2.1861951164876245,-0.2249378180728947
Roamer,16.05,35.495262169869534,-0.9996181712293276,1.350361773773783,-1.0770398620724122,-0.614773233255099
Fisher,15.02,35.42547800348897,-2.496572942176729,0.9850130589631092,3.2167859270786674,-1.6986765485068949
Bdd,14.15,35.34521847047352,-0.8983764153440381,-1.2424832927004692,-0.0515469191370398,2.0351126037339933
Ucal,15.19,35.278624155943696,-1.4971092361534033,-0.8316699451077523,1.6645988280090964,0.5676091979319997
Fisher,14.16,35.21688337323956,1.2888853901404604,-2.233951244964856,-1.389093179786722,-1.539397462586587
Bdd,14.22,35.21342582378912,0.0431382739994708,-3.0524754754829373,-0.1201591427109638,2.1579362712611947
Bdd,16.11,35.137701463018885,-0.228186929891731,1.4879932120337778,-3.992841993898858,0.8869012251806973
