playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Pyosik,KT Rolster,jng,14.15,14,15,9,0,jng,-1.4587647740632952,-0.21873694683934297,0.3754576052792978,-0.6729105992190437,-0.07783264868778972,0.1489869064070536
Raptor,BNK FEARX,jng,14.15,14,15,10,0,jng,-2.2831068810333655,-0.6203056616905482,0.049639004392235016,-0.0026107818000363644,0.010690580430229796,0.1688018620856876
Sponge,DRX,jng,14.15,14,15,9,0,jng,-0.9635549112599018,-0.005778471763321723,0.472263524775541,-0.44764520320614515,-0.04329613319987136,0.22755362700037568
Sylvie,Nongshim RedForce,jng,14.15,14,15,9,0,jng,-2.3264777885505548,-0.10824988800549196,0.100950062407122,0.019210672223622487,-0.11557622441084972,0.1809757247735708
YoungJae,HANJIN BRION,jng,14.15,14,15,8,0,jng,-2.1424164017770826,-0.5542053651230215,-0.46774832501444097,0.0031785468385754877,-0.0665884762703184,0.12408859728432356
Canyon,Gen.G,jng,14.16,14,16,12,0,jng,-1.760546881965265,0.37997732661596634,0.7071221683348964,0.054455922538715555,0.4655458195265982,0.0761134005159974
Lucid,Dplus Kia,jng,14.16,14,16,11,0,jng,1.0755453829463264,1.1999301515081477,-0.11370120644570327,0.685816530107209,0.48920556596299447,0.08494444755448756
Oner,T1,jng,14.16,14,16,15,0,jng,1.2903629594938155,1.3271808599615122,-0.762801986465966,-0.3850425224798217,0.3979624303515978,0.24448457311596078
Peanut,Hanwha Life Esports,jng,14.16,14,16,16,0,jng,-0.8811939225417927,0.8703577041710554,1.1356069628312853,0.4176242757433565,-0.049325503141878835,0.09759437116596982
Pyosik,KT Rolster,jng,14.16,14,16,4,0,jng,-5.053725453068191,-2.2494170880824127,-0.22491282230925164,0.05922071205976292,-0.19586579188750267,0.245858422388818
Raptor,BNK FEARX,jng,14.16,14,16,4,0,jng,-4.167142929038402,-1.2028929397539092,-0.42766250101671516,-0.044915673035462705,0.34978143877416695,0.2447563130132851
Canyon,Gen.G,jng,15.01,15,1,18,0,jng,0.3133158435162294,0.28240884009472733,-0.5890127529483195,0.06224544642837407,-0.09231988574695833,-0.13926543813724782
